address,person,wiki,year,person_year,PAON,Street,Postcode
"16 BISHOPSWOOD ROAD, HIGHGATE N6 4NY",A.V.Hill,https://en.wikipedia.org/wiki/Archibald_Hill,01/01/2015,A.V.Hill_2015,16, BISHOPSWOOD ROAD,N6 4NY
"16 CHALCOT GARDENS, BELSIZE PARK NW3 4YB",Arthur Rackham,https://en.wikipedia.org/wiki/Arthur_Rackham,01/01/1981,Arthur Rackham_1981,16,,NW3 4YB
"16 BRACKNELL GARDENS, HAMPSTEAD NW3 7EB",Huxley familyAldous Huxley Julian Huxley Leonard Huxley ,https://en.wikipedia.org/wiki/Huxley_family,01/01/1995,Huxley familyAldous Huxley Julian Huxley Leonard Huxley _1995,16,,NW3 7EB
"16 STAFFORD PLACE, VICTORIA SW1E 6NE",Lord Hore-Belisha,https://en.wikipedia.org/wiki/Lord_Hore-Belisha,01/01/1980,Lord Hore-Belisha_1980,16, STAFFORD PLACE,SW1E 6NE
"16 UPPER GROSVENOR STREET, MAYFAIR W1K 7EH","Sir Robert Peel, 1st Baronet and Robert Peel and","https://en.wikipedia.org/wiki/Sir_Robert_Peel,_1st_Baronet",01/01/1988,"Sir Robert Peel, 1st Baronet and Robert Peel and _1988",16,,W1K 7EH
"16 YOUNG STREET, KENSINGTON W8 5EH",William Makepeace Thackeray,https://en.wikipedia.org/wiki/William_Makepeace_Thackeray,01/01/1905,William Makepeace Thackeray_1905,16,,W8 5EH
"16 QUEEN ANNE'S GATE, WESTMINSTER SW1H 9AA","[Admiral of the Fleet Lord Fisher, William Smith M.P.]","[https://en.wikipedia.org/wiki/John_Fisher,_1st_Baron_Fisher, https://en.wikipedia.org/wiki/William_Smith_(abolitionist)]",01/01/1975,Admiral of the Fleet Lord Fisher_1975,16,S GATE,SW1H 9AA
"16 COWLEY STREET, WESTMINSTER SW1P 3LZ",Sir John Gielgud,https://en.wikipedia.org/wiki/Sir_John_Gielgud,01/01/2017,Sir John Gielgud_2017,16,,SW1P 3LZ
"16 SOUTH EATON PLACE, BELGRAVIA SW1W 9JA","Robert Gascoyne-Cecil, Viscount Cecil of Chelwood","https://en.wikipedia.org/wiki/Robert_Cecil,_1st_Viscount_Cecil_of_Chelwood",01/01/1976,"Robert Gascoyne-Cecil, Viscount Cecil of Chelwood_1976",16, SOUTH EATON PLACE,SW1W 9JA
"16 SOUTH EATON PLACE, BELGRAVIA SW1W 9JA",Philip Noel-Baker,https://en.wikipedia.org/wiki/Philip_Noel-Baker,01/01/1992,Philip Noel-Baker_1992,16, SOUTH EATON PLACE,SW1W 9JA
"16 EATON PLACE, BELGRAVIA SW1X 8LT",William Ewart,https://en.wikipedia.org/wiki/William_Ewart_(British_politician),01/01/1963,William Ewart_1963,16, EATON PLACE,SW1X 8LT
"16 LAWRENCE STREET, CHELSEA SW3 5NE",Chelsea China and Tobias Smollett,https://en.wikipedia.org/wiki/Tobias_Smollett,01/01/1950,Chelsea China and Tobias Smollett_1950,16,,SW3 5NE
"16 CHEYNE WALK, CHELSEA SW3 5RA",Dante Gabriel Rossetti and Algernon Charles Swinburne,https://en.wikipedia.org/wiki/Dante_Gabriel_Rossetti,01/01/1949,Dante Gabriel Rossetti and Algernon Charles Swinburne_1949,16, CHEYNE WALK,SW3 5RA
"16 PENYWERN ROAD, EARLS COURT SW5 9ST",Sir Norman Lockyer,https://en.wikipedia.org/wiki/Norman_Lockyer,01/01/2003,Sir Norman Lockyer_2003,16, EARLS COURT,SW5 9ST
"16 PORTSEA PLACE, PADDINGTON W2 2BL",Olive Schreiner,https://en.wikipedia.org/wiki/Olive_Schreiner,01/01/1959,Olive Schreiner_1959,16, PORTSEA PLACE,W2 2BL
"16 PALACE GARDENS TERRACE, KENSINGTON W8 4RP",James Clerk Maxwell,https://en.wikipedia.org/wiki/James_Clerk_Maxwell,01/01/1923,James Clerk Maxwell_1923,16, PALACE GARDENS TERRACE,W8 4RP
"16 PHILLIMORE PLACE, HOLLAND PARK W8 7BU",Kenneth Grahame,https://en.wikipedia.org/wiki/Kenneth_Grahame,01/01/1959,Kenneth Grahame_1959,16, PHILLIMORE PLACE,W8 7BU
"16 CAMPDEN HILL SQUARE, HOLLAND PARK W8 7JY",Charles Morgan,https://en.wikipedia.org/wiki/Charles_Langbridge_Morgan,01/01/1992,Charles Morgan_1992,16, CAMPDEN HILL SQUARE,W8 7JY
"16 JOHN ADAM STREET, CHARING CROSS WC2N 6HE",Thomas Rowlandson,https://en.wikipedia.org/wiki/Thomas_Rowlandson,01/01/1950,Thomas Rowlandson_1950,16,,WC2N 6HE
"17 NORTH ROAD, HIGHGATE N6 4BD",A. E. Housman,https://en.wikipedia.org/wiki/A._E._Housman,01/01/1969,A. E. Housman_1969,17, NORTH ROAD,N6 4BD
"17 EAST HEATH ROAD, HAMPSTEAD NW3 1AL",Katherine Mansfield and John Middleton Murry,https://en.wikipedia.org/wiki/Katherine_Mansfield,01/01/1969,Katherine Mansfield and John Middleton Murry_1969,17, EAST HEATH ROAD,NW3 1AL
"17 CUNNINGHAM PLACE, LISSON GROVE NW8 8JT",Emily Davies,https://en.wikipedia.org/wiki/Emily_Davies,01/01/1978,Emily Davies_1978,17, CUNNINGHAM PLACE,NW8 8JT
"17 HAMILTON TERRACE, ST JOHN'S WOOD NW8 9RE",Sir Joseph Bazalgette,https://en.wikipedia.org/wiki/Joseph_Bazalgette,01/01/1974,Sir Joseph Bazalgette_1974,17, HAMILTON TERRACE,NW8 9RE
"17 MONKHAMS AVENUE, WOODFORD GREEN IG8 0GB",Clement Attlee,https://en.wikipedia.org/wiki/Clement_Attlee,01/01/1984,Clement Attlee_1984,17, MONKHAMS AVENUE,IG8 0GB
"17 RED LION SQUARE, HOLBORN WC1R 4QH",Sir Edward Burne-Jones and William Morris and Dante Gabriel Rossetti,https://en.wikipedia.org/wiki/Edward_Burne-Jones,01/01/1911,Sir Edward Burne-Jones and William Morris and Dante Gabriel Rossetti_1911,17, RED LION SQUARE,WC1R 4QH
"17 SAVILE ROW, MAYFAIR W1S 3PN",George Basevi,https://en.wikipedia.org/wiki/George_Basevi,01/01/1949,George Basevi_1949,17,,W1S 3PN
"17 ENGLEWOOD ROAD, CLAPHAM SW12 9PA",Sir Jack Hobbs,https://en.wikipedia.org/wiki/Jack_Hobbs,01/01/1986,Sir Jack Hobbs_1986,17, ENGLEWOOD ROAD,SW12 9PA
"17 GILLINGHAM STREET, VICTORIA SW1V 1HN",Joseph Conrad,https://en.wikipedia.org/wiki/Joseph_Conrad,01/01/1984,Joseph Conrad_1984,17,,SW1V 1HN
"17 ST ANN'S VILLAS, NOTTING HILL W11 4RT",Albert Chevalier,https://en.wikipedia.org/wiki/Albert_Chevalier,01/01/1965,Albert Chevalier_1965,17,,W11 4RT
"17 DUNRAVEN STREET, MAYFAIR W1K 7EG",P. G. Wodehouse,https://en.wikipedia.org/wiki/P._G._Wodehouse,01/01/1988,P. G. Wodehouse_1988,17,,W1K 7EG
"17 KENSINGTON SQUARE, KENSINGTON W8 5HH",Hubert Parry,https://en.wikipedia.org/wiki/Hubert_Parry,01/01/1949,Hubert Parry_1949,17, KENSINGTON SQUARE,W8 5HH
"18 FROGNAL GARDENS, HAMPSTEAD NW3 6XA",Sir Walter Besant,https://en.wikipedia.org/wiki/Walter_Besant,01/01/1925,Sir Walter Besant_1925,18,,NW3 6XA
"18 FROGNAL GARDENS, HAMPSTEAD NW3 6XA",Hugh Gaitskell,https://en.wikipedia.org/wiki/Hugh_Gaitskell,01/01/1986,Hugh Gaitskell_1986,18,,NW3 6XA
"18 CAVENDISH SQUARE, MARYLEBONE W1G 0PJ",Sir Ronald Ross,https://en.wikipedia.org/wiki/Ronald_Ross,01/01/1985,Sir Ronald Ross_1985,18, CAVENDISH SQUARE,W1G 0PJ
"18 YEOMAN’S ROW, KENSINGTON SW3 2AH",Wells Coates,https://en.wikipedia.org/wiki/Wells_Coates,01/01/2014,Wells Coates_2014,18,,SW3 2AH
"18 ST LEONARD'S TERRACE, CHELSEA SW3 4QG",Bram Stoker,https://en.wikipedia.org/wiki/Bram_Stoker,01/01/1977,Bram Stoker_1977,18,S TERRACE,SW3 4QG
"18 BURNLEY ROAD, STOCKWELL SW9 0SJ",Violette Szabo,https://en.wikipedia.org/wiki/Violette_Szabo,01/01/1981,Violette Szabo_1981,18, BURNLEY ROAD,SW9 0SJ
"18 MELBURY ROAD, HOLLAND PARK W14 8LT","[Cetshwayoc., William Holman-Hunt O. M.]","[https://en.wikipedia.org/wiki/Cetshwayo_kaMpande, https://en.wikipedia.org/wiki/William_Holman-Hunt]",01/01/2006,Cetshwayoc._2006,18, MELBURY ROAD,W14 8LT
"18 GROSVENOR SQUARE, MAYFAIR W1K 6LE",Sir Frederick Handley Page,https://en.wikipedia.org/wiki/Frederick_Handley_Page,01/01/1999,Sir Frederick Handley Page_1999,18, GROSVENOR SQUARE,W1K 6LE
"18 ALBION MEWS, PADDINGTON W2 2BA",Dame Lucie Rie,https://en.wikipedia.org/wiki/Lucie_Rie,01/01/2008,Dame Lucie Rie_2008,18,,W2 2BA
"18 KENSINGTON SQUARE, SOUTH KENSINGTON W8 5HH",John Stuart Mill,https://en.wikipedia.org/wiki/John_Stuart_Mill,01/01/1907,John Stuart Mill_1907,18, KENSINGTON SQUARE,W8 5HH
"19 YORK TERRACE EAST, REGENT'S PARK NW1 4PT",Ernest Jones,https://en.wikipedia.org/wiki/Ernest_Jones,01/01/1985,Ernest Jones_1985,19, YORK TERRACE,NW1 4PT
"19 NORTH END, HAMPSTEAD NW3 7HR",Michael Ventris,https://en.wikipedia.org/wiki/Michael_Ventris,01/01/1990,Michael Ventris_1990,19,,NW3 7HR
"19 BRIARDALE GARDENS, HAMPSTEAD NW3 7PN",E H Gombrich,https://en.wikipedia.org/wiki/Ernst_Gombrich,01/01/2015,E H Gombrich_2015,19,,NW3 7PN
"19 CURZON STREET, MAYFAIR W1J 7TB","Benjamin Disraeli, Earl of Beaconsfield","https://en.wikipedia.org/wiki/Benjamin_Disraeli,_Earl_of_Beaconsfield",01/01/1908,"Benjamin Disraeli, Earl of Beaconsfield_1908",19,,W1J 7TB
"19 PARK CRESCENT, REGENT'S PARK W1B 1AL",Sir Charles Wheatstone,https://en.wikipedia.org/wiki/Charles_Wheatstone,01/01/1981,Sir Charles Wheatstone_1981,19, PARK CRESCENT,W1B 1AL
"19 PARK HILL, CARSHALTON SM5 3SA","William Hale White aka ""Mark Rutherford""",https://en.wikipedia.org/wiki/Hale_White,01/01/1979,"William Hale White aka ""Mark Rutherford""_1979",19,,SM5 3SA
"19 COLLINGHAM GARDENS, SOUTH KENSINGTON SW5 0HL",Howard Carter,https://en.wikipedia.org/wiki/Howard_Carter,01/01/1999,Howard Carter_1999,19,,SW5 0HL
"19 GROVE PARK GARDENS, CHISWICK W4 3RY",Jack Beresford,https://en.wikipedia.org/wiki/Jack_Beresford,01/01/2005,Jack Beresford_2005,19,,W4 3RY
"19 RAVENSCOURT ROAD, HAMMERSMITH W6 0UH",Christopher Whitworth Whall,https://en.wikipedia.org/wiki/Christopher_Whitworth_Whall,01/01/1983,Christopher Whitworth Whall_1983,19, RAVENSCOURT ROAD,W6 0UH
"19 EDWARDES SQUARE, KENSINGTON W8 6HE",Ugo Foscolo,https://en.wikipedia.org/wiki/Ugo_Foscolo,01/01/1998,Ugo Foscolo_1998,19, EDWARDES SQUARE,W8 6HE
"19 CAMPDEN HILL GARDENS, HOLLAND PARK W8 7AX",Dame Marie Rambert,https://en.wikipedia.org/wiki/Marie_Rambert,01/01/1997,Dame Marie Rambert_1997,19,,W8 7AX
"19 SHEFFIELD TERRACE, HOLLAND PARK W8 7NQ",Sir Edward Henry,https://en.wikipedia.org/wiki/Edward_Henry,01/01/2001,Sir Edward Henry_2001,19, SHEFFIELD TERRACE,W8 7NQ
"19 WHARTON STREET, ISLINGTON WC1X 9PT",Amelia Edwards,https://en.wikipedia.org/wiki/Amelia_Edwards,01/01/1926,Amelia Edwards_1926,19,,WC1X 9PT
"20 CHURCH ROAD, SHORTLANDS BR2 0HP",Alexander Muirhead,https://en.wikipedia.org/wiki/Alexander_Muirhead,01/01/1981,Alexander Muirhead_1981,20, CHURCH ROAD,BR2 0HP
"20 OUTRAM ROAD, ADDISCOMBE CR0 6XE",Frederick George Creed,https://en.wikipedia.org/wiki/Frederick_George_Creed,01/01/1973,Frederick George Creed_1973,20, OUTRAM ROAD,CR0 6XE
"20 YORK TERRACE EAST, REGENT'S PARK NW1 4PT",Sir Charles Wyndham,https://en.wikipedia.org/wiki/Charles_Wyndham_(actor),01/01/1962,Sir Charles Wyndham_1962,20, YORK TERRACE,NW1 4PT
"20 ALBERT STREET, CAMDEN TOWN NW1 7LU",George Macdonald,https://en.wikipedia.org/wiki/George_Macdonald,01/01/2005,George Macdonald_2005,20,,NW1 7LU
"20 MARESFIELD GARDENS (NOW THE FREUD MUSEUM), HAMPSTEAD NW3 5SX",Anna Freud,https://en.wikipedia.org/wiki/Anna_Freud,01/01/2002,Anna Freud_2002,20,,NW3 5SX
"20 MARESFIELD GARDENS (NOW THE FREUD MUSEUM), HAMPSTEAD NW3 5SX",Sigmund Freud,https://en.wikipedia.org/wiki/Sigmund_Freud,01/01/2002,Sigmund Freud_2002,20,,NW3 5SX
"20 HAMILTON TERRACE, ST JOHN'S WOOD NW8 9UG",William Strang,https://en.wikipedia.org/wiki/William_Strang,01/01/1962,William Strang_1962,20, HAMILTON TERRACE,NW8 9UG
"20 CAVENDISH SQUARE, MARYLEBONE W1G 0RN","Herbert Henry Asquith, 1st Earl of Oxford and Asquith",https://en.wikipedia.org/wiki/H._H._Asquith,01/01/1951,"Herbert Henry Asquith, 1st Earl of Oxford and Asquith_1951",20, CAVENDISH SQUARE,W1G 0RN
"20 HERTFORD STREET, MAYFAIR W1J 7RX",Sir George Cayley,https://en.wikipedia.org/wiki/George_Cayley,01/01/1962,Sir George Cayley_1962,20,,W1J 7RX
"20 MANSFIELD STREET, MARYLEBONE W1G 6NP","Charles Stanhope, 3rd Earl Stanhope","https://en.wikipedia.org/wiki/Charles_Stanhope,_3rd_Earl_Stanhope",01/01/1951,"Charles Stanhope, 3rd Earl Stanhope_1951",20,,W1G 6NP
"20 SOHO SQUARE, SOHO W1D 3QW",Arthur Onslow,https://en.wikipedia.org/wiki/Arthur_Onslow,01/01/1927,Arthur Onslow_1927,20, SOHO SQUARE,W1D 3QW
"20 UPPER BERKELEY STREET, MARYLEBONE W1H 7PF",Elizabeth Garrett Anderson,https://en.wikipedia.org/wiki/Elizabeth_Garrett_Anderson,01/01/1962,Elizabeth Garrett Anderson_1962,20,,W1H 7PF
"20 UPPER WIMPOLE STREET, MARYLEBONE W1G 6LZ",Ethel Gordon Fenwick,https://en.wikipedia.org/wiki/Ethel_Gordon_Fenwick,01/01/1999,Ethel Gordon Fenwick_1999,20,,W1G 6LZ
"20 DARTMOUTH HILL, BLACKHEATH SE10 8AJ",James Glaisher,https://en.wikipedia.org/wiki/James_Glaisher,01/01/1974,James Glaisher_1974,20,,SE10 8AJ
"20 QUEEN ANNE'S GATE, WESTMINSTER SW1H 9AA",Lord Palmerston,"https://en.wikipedia.org/wiki/Henry_John_Temple,_3rd_Viscount_Palmerston",01/01/1927,Lord Palmerston_1927,20,S GATE,SW1H 9AA
"20 QUEEN'S GATE PLACE, SOUTH KENSINGTON SW7 5NY",Tony Hancock,https://en.wikipedia.org/wiki/Tony_Hancock,01/01/2014,Tony Hancock_2014,20,S GATE,SW7 5NY
"20 HOLLAND PARK ROAD, HOLLAND PARK W14 8LZ",Phil May,https://en.wikipedia.org/wiki/Phil_May_(caricaturist),01/01/1982,Phil May_1982,20, HOLLAND PARK ROAD,W14 8LZ
"20 BARON'S COURT ROAD, BARONS COURT W14 9DT",Mahatma Gandhi,https://en.wikipedia.org/wiki/Mahatma_Gandhi,01/01/1986,Mahatma Gandhi_1986,20,S COURT,W14 9DT
"20 CHARLES STREET, MAYFAIR W1J 5DT","Archibald Primrose, 5th Earl of Rosebery","https://en.wikipedia.org/wiki/Archibald_Primrose,_5th_Earl_of_Rosebery",01/01/1962,"Archibald Primrose, 5th Earl of Rosebery_1962",20,,W1J 5DT
"20 YORK STREET, MARYLEBONE W1U 6PU",George Richmond,https://en.wikipedia.org/wiki/George_Richmond_(painter),01/01/1961,George Richmond_1961,20,,W1U 6PU
"20 CALTHORPE STREET, CLERKENWELL WC1X 0JS",William Richard Lethaby,https://en.wikipedia.org/wiki/William_Richard_Lethaby,01/01/1979,William Richard Lethaby_1979,20,,WC1X 0JS
"21 DOWNSHIRE HILL, HAMPSTEAD NW3 1NT",Lee Miller and Sir Roland Penrose,https://en.wikipedia.org/wiki/Lee_Miller,01/01/2003,Lee Miller and Sir Roland Penrose_2003,21,,NW3 1NT
"21 ARKWRIGHT ROAD, HAMPSTEAD NW3 6AA",Tobias Matthay,https://en.wikipedia.org/wiki/Tobias_Matthay,01/01/1979,Tobias Matthay_1979,21, ARKWRIGHT ROAD,NW3 6AA
"21 FITZROY SQUARE, FITZROVIA W1T 6EL","Robert Gascoyne-Cecil, 3rd Marquess of Salisbury","https://en.wikipedia.org/wiki/Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury",01/01/1965,"Robert Gascoyne-Cecil, 3rd Marquess of Salisbury_1965",21, FITZROY SQUARE,W1T 6EL
"21 MECKLENBURGH SQUARE, BLOOMSBURY WC1N 2DT",Sir Syed Ahmed Khan,https://en.wikipedia.org/wiki/Syed_Ahmed_Khan,01/01/1997,Sir Syed Ahmed Khan_1997,21, MECKLENBURGH SQUARE,WC1N 2DT
"21 MECKLENBURGH SQUARE, BLOOMSBURY WC1N 2DT",R. H. Tawney,https://en.wikipedia.org/wiki/Richard_Henry_Tawney,01/01/1980,R. H. Tawney_1980,21, MECKLENBURGH SQUARE,WC1N 2DT
"21 PONT STREET (NOW THE CADOGAN HOTEL), CHELSEA SW1X 9SG",Lillie Langtry,https://en.wikipedia.org/wiki/Lillie_Langtry,01/01/1980,Lillie Langtry_1980,21,,SW1X 9SG
"21 RUSSELL SQUARE, BLOOMSBURY WC1B 4EH",Sir Samuel Romilly,https://en.wikipedia.org/wiki/Samuel_Romilly,01/01/1919,Sir Samuel Romilly_1919,21, RUSSELL SQUARE,WC1B 4EH
"21 BROMPTON SQUARE, KNIGHTSBRIDGE SW3 2AD",Francis Place,https://en.wikipedia.org/wiki/Francis_Place,01/01/1961,Francis Place_1961,21, BROMPTON SQUARE,SW3 2AD
"21 CROMWELL ROAD, SOUTH KENSINGTON SW7 2JB",Sir Charles James Freake,https://en.wikipedia.org/wiki/Charles_Freake,01/01/1981,Sir Charles James Freake_1981,21, CROMWELL ROAD,SW7 2JB
"21 PELHAM CRESCENT, SOUTH KENSINGTON SW7 2NR",François Guizot,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Guizot,01/01/2001,François Guizot_2001,21, PELHAM CRESCENT,SW7 2NR
"21 HANOVER SQUARE, MAYFAIR W1S 1JW",Prince Talleyrand,https://en.wikipedia.org/wiki/Charles_Maurice_de_Talleyrand-P%C3%A9rigord,01/01/1978,Prince Talleyrand_1978,21, HANOVER SQUARE,W1S 1JW
"22 SOUTHWOOD LANE, HIGHGATE N6 5EE",Mary Kingsley,https://en.wikipedia.org/wiki/Mary_Kingsley,01/01/1975,Mary Kingsley_1975,22, SOUTHWOOD LANE,N6 5EE
"22 ARLINGTON STREET, ST JAMES'S SW1A 1RW",Henry Pelhamc.,https://en.wikipedia.org/wiki/Henry_Pelham,01/01/1995,Henry Pelhamc._1995,22,,SW1A 1RW
"22 CARLISLE PLACE, VICTORIA SW1P 1JA",Cardinal Manning,https://en.wikipedia.org/wiki/Henry_Edward_Manning,01/01/1914,Cardinal Manning_1914,22, CARLISLE PLACE,SW1P 1JA
"22 EBURY STREET, BELGRAVIA SW1W 8LW",Ian Fleming,https://en.wikipedia.org/wiki/Ian_Fleming,01/01/1996,Ian Fleming_1996,22,,SW1W 8LW
"22 UPPER CHEYNE ROW, CHELSEA SW3 5JN",Leigh Hunt,https://en.wikipedia.org/wiki/James_Henry_Leigh_Hunt,01/01/1905,Leigh Hunt_1905,22,,SW3 5JN
"22 BARKSTON GARDENS, EARLS COURT SW5 0ER",Dame Ellen Terry,https://en.wikipedia.org/wiki/Ellen_Terry,01/01/1951,Dame Ellen Terry_1951,22, EARLS COURT,SW5 0ER
"22 HEREFORD SQUARE, SOUTH KENSINGTON SW7 4TS",George Borrow,https://en.wikipedia.org/wiki/George_Borrow,01/01/1911,George Borrow_1911,22, HEREFORD SQUARE,SW7 4TS
"22 HYDE PARK GATE, KENSINGTON SW7 5DH",Sir Leslie Stephen,https://en.wikipedia.org/wiki/Leslie_Stephen,01/01/1960,Sir Leslie Stephen_1960,22, HYDE PARK GATE,SW7 5DH
"22 GLADSTONE AVENUE, FELTHAM TW14 9LL",Freddie Mercury,https://en.wikipedia.org/wiki/Freddie_Mercury,01/01/2016,Freddie Mercury_2016,22, GLADSTONE AVENUE,TW14 9LL
"22 THEOBALDS ROAD, HOLBORN WC1X 8NX","Benjamin Disraeli, Earl of Beaconsfield",https://en.wikipedia.org/wiki/Benjamin_Disraeli,01/01/1903,"Benjamin Disraeli, Earl of Beaconsfield_1903",22, THEOBALDS ROAD,WC1X 8NX
"23 PARK ROAD, MARYLEBONE NW1 6XN",José de San Martín,https://en.wikipedia.org/wiki/Jos%C3%A9_de_San_Mart%C3%ADn,01/01/1953,José de San Martín_1953,23, PARK ROAD,NW1 6XN
"23 FITZROY ROAD, PRIMROSE HILL NW1 8TP",William Butler Yeats,https://en.wikipedia.org/wiki/William_Butler_Yeats,01/01/1957,William Butler Yeats_1957,23, FITZROY ROAD,NW1 8TP
"23 BROOK STREET, MAYFAIR W1K 4HA",Jimi Hendrix,https://en.wikipedia.org/wiki/Jimi_Hendrix,01/01/1997,Jimi Hendrix_1997,23,,W1K 4HA
"23 GREAT ORMOND STREET, HOLBORN WC1N 3JB",John Howard,https://en.wikipedia.org/wiki/John_Howard_(prison_reformer),01/01/1908,John Howard_1908,23,,WC1N 3JB
"23 CLIVEDEN PLACE, BELGRAVIA SW1W 8HD",Aneurin 'Nye' Bevan and Jennie Lee ,https://en.wikipedia.org/wiki/Aneurin_Bevan,01/01/2015,Aneurin 'Nye' Bevan and Jennie Lee _2015,23, CLIVEDEN PLACE,SW1W 8HD
"23 TEDWORTH SQUARE, CHELSEA SW3 5DR","Samuel L. Clemens ""Mark Twain""",https://en.wikipedia.org/wiki/Mark_Twain,01/01/1910,"Samuel L. Clemens ""Mark Twain""_1910",23, TEDWORTH SQUARE,SW3 5DR
"23 ALDRIDGE ROAD VILLAS, LADBROKE GROVE W11 1BN",Sardar Vallabhbhai Javerbhai Patel,https://en.wikipedia.org/wiki/Vallabhbhai_Patel,01/01/1991,Sardar Vallabhbhai Javerbhai Patel_1991,23, ALDRIDGE ROAD,W11 1BN
"23 CAMPDEN HILL SQUARE, HOLLAND PARK W8 7JY",Siegfried Sassoon,https://en.wikipedia.org/wiki/Siegfried_Sassoon,01/01/1996,Siegfried Sassoon_1996,23, CAMPDEN HILL SQUARE,W8 7JY
"24 FERNCROFT AVENUE, HAMPSTEAD NW3 7PH",John McCormack,https://en.wikipedia.org/wiki/John_McCormack_(tenor),01/01/2005,John McCormack_2005,24, FERNCROFT AVENUE,NW3 7PH
"24 WELLINGTON ROAD, ST JOHN'S WOOD NW8 9SP",Marie Tussaud,https://en.wikipedia.org/wiki/Marie_Tussaud,01/01/2001,Marie Tussaud_2001,24, WELLINGTON ROAD,NW8 9SP
"24 DORSET SQUARE, MARYLEBONE NW1 6QG",Sir Laurence Gomme,https://en.wikipedia.org/wiki/Laurence_Gomme,01/01/2006,Sir Laurence Gomme_2006,24, DORSET SQUARE,NW1 6QG
"24 PARK CRESCENT, REGENT'S PARK W1B 1AL",Dame Marie Tempest,https://en.wikipedia.org/wiki/Marie_Tempest,01/01/1972,Dame Marie Tempest_1972,24, PARK CRESCENT,W1B 1AL
"24 SUGDEN ROAD, CLAPHAM SW11 5EF",Fred Knee,https://en.wikipedia.org/wiki/Fred_Knee,01/01/1986,Fred Knee_1986,24, SUGDEN ROAD,SW11 5EF
"24 CHESTER SQUARE, BELGRAVIA SW1W 9HS",Mary Shelley,https://en.wikipedia.org/wiki/Mary_Shelley,01/01/2003,Mary Shelley_2003,24, CHESTER SQUARE,SW1W 9HS
"24 ALEXANDER SQUARE, SOUTH KENSINGTON SW3 2AU, GODWINPLAQUE.JPG",George Godwin,https://en.wikipedia.org/wiki/George_Godwin,01/01/1969,George Godwin_1969,24, ALEXANDER SQUARE,SW3 2AU
"24 HALSEY STREET, CHELSEA SW3 2PT",Elizabeth David,https://en.wikipedia.org/wiki/Elizabeth_David,01/01/2016,Elizabeth David_2016,24,,SW3 2PT
"24 WETHERBY GARDENS, SOUTH KENSINGTON SW5 0JR",Field Marshall Viscount Allenby,"https://en.wikipedia.org/wiki/Edmund_Allenby,_1st_Viscount_Allenby",01/01/1960,Field Marshall Viscount Allenby_1960,24,,SW5 0JR
"24 ONSLOW GARDENS, SOUTH KENSINGTON SW7 3AL",Andrew Bonar Law,https://en.wikipedia.org/wiki/Andrew_Bonar_Law,01/01/1958,Andrew Bonar Law_1958,24,,SW7 3AL
"25 CARNARVON ROAD, WALTHAMSTOW E10 6DW",Solomon T. Plaatje,https://en.wikipedia.org/wiki/Sol_Plaatje,01/01/1986,Solomon T. Plaatje_1986,25, CARNARVON ROAD,E10 6DW
"25 ALBANY ROAD, MANOR PARK E12 5BE",Stanley Holloway,https://en.wikipedia.org/wiki/Stanley_Holloway,01/01/2009,Stanley Holloway_2009,25, ALBANY ROAD,E12 5BE
"25 HIGHBURY PLACE, HIGHBURY N5 1QP",Joseph Chamberlain,https://en.wikipedia.org/wiki/Joseph_Chamberlain,01/01/1915,Joseph Chamberlain_1915,25, HIGHBURY PLACE,N5 1QP
"25 DOWNSHIRE HILL,, HAMPSTEAD NW3 1NT",Peter Medawar,https://en.wikipedia.org/wiki/Peter_Medawar,01/01/2014,Peter Medawar_2014,25,,NW3 1NT
"25 BROOK STREET, MAYFAIR W1K 4HB",George Frideric Handel,https://en.wikipedia.org/wiki/George_Frideric_Handel,01/01/2001,George Frideric Handel_2001,25,,W1K 4HB
"25 WINTHORPE ROAD, PUTNEY SW15 2LW",Henri Gaudier-Brzeska,https://en.wikipedia.org/wiki/Henri_Gaudier-Brzeska,01/01/2017,Henri Gaudier-Brzeska_2017,25, WINTHORPE ROAD,SW15 2LW
"25 WILTON PLACE, BELGRAVIA SW1X 8RL",George Bentham,https://en.wikipedia.org/wiki/George_Bentham,01/01/1978,George Bentham_1978,25, WILTON PLACE,SW1X 8RL
"25 BROMPTON SQUARE, KNIGHTSBRIDGE SW3 2AD",E. F. Benson,https://en.wikipedia.org/wiki/E._F._Benson,01/01/1994,E. F. Benson_1994,25, BROMPTON SQUARE,SW3 2AD
"25 DRAYCOTT PLACE, CHELSEA SW3 2SH",Earl Jellicoe O. M.,"https://en.wikipedia.org/wiki/John_Jellicoe,_1st_Earl_Jellicoe",01/01/1975,Earl Jellicoe O. M._1975,25, DRAYCOTT PLACE,SW3 2SH
"25 ADDISON AVENUE, HOLLAND PARK LONDON W11 4QS",Hugh Carleton Greene,https://en.wikipedia.org/wiki/Hugh_Greene,01/01/2018,Hugh Carleton Greene_2018,25, ADDISON AVENUE,W11 4QS
"25 CRAVEN STREET, CHARING CROSS WC2N 5NT",Herman Melville,https://en.wikipedia.org/wiki/Herman_Melville,01/01/2005,Herman Melville_2005,25,,WC2N 5NT
