,address,person,wiki,year
819,"55 Albany StreetRegent's Park NW1 4BT, ",Henry Mayhew   ,https://en.wikipedia.org/wiki/Henry_Mayhew,1953-01-01
820,"183 Gower StreetBloomsbury NW1 2NJ, ",Giuseppe Mazzini   ,https://en.wikipedia.org/wiki/Giuseppe_Mazzini,1950-01-01
821,"25 Downshire Hill,Hampstead NW3 1NT, ",Peter Medawar   ,https://en.wikipedia.org/wiki/Peter_Medawar,2014-01-01
822,"21 Downshire HillHampstead NW3 1NT, ",Lee Miller    and Sir Roland Penrose   ,https://en.wikipedia.org/wiki/Lee_Miller,2003-01-01
823,"60 Parkhill RoadHampstead NW3 2YT, ",Piet Cornelis Mondrian   ,https://en.wikipedia.org/wiki/Piet_Cornelis_Mondrian,1975-01-01
824,"11a Parkhill RoadHampstead NW3 2YH, ",Henry Moore   ,https://en.wikipedia.org/wiki/Henry_Moore,2004-01-01
825,"10 Gower StreetBloomsbury WC1E 6DP, ",Lady Ottoline Morrell   ,https://en.wikipedia.org/wiki/Ottoline_Morrell,1986-01-01
826,"24 Ferncroft AvenueHampstead NW3 7PH, ",John McCormack   ,https://en.wikipedia.org/wiki/John_McCormack_(tenor),2005-01-01
827,"66 Great Russell StreetBloomsbury WC1B 3BN, ",John Nash   ,https://en.wikipedia.org/wiki/John_Nash_(architect),2013-01-01
828,"Queen Alexandra Mansions, Bidborough StreetKing's Cross WC1H 9DJ, ",Paul Nash   ,https://en.wikipedia.org/wiki/Paul_Nash_(artist),1991-01-01
829,"4 Downside Crescent, Hampstead, London NW3 2AP, ",Henry Nevinson      C.R.W. Nevinson    ,https://en.wikipedia.org/wiki/Henry_Nevinson,2018-01-01
830,"2B Pilgrim's LaneHampstead NW3 1SL, ",Ben Nicholson O. M.   ,https://en.wikipedia.org/wiki/Ben_Nicholson,2002-01-01
831,"1 Pilgrim's LaneHampstead NW3 1SJ, ",Sir William Nicholson   ,https://en.wikipedia.org/wiki/William_Nicholson_(artist),2010-01-01
832,"60 Burghley RoadKentish Town NW5 1UN, ",Kwame Nkrumah   ,https://en.wikipedia.org/wiki/Kwame_Nkrumah,2005-01-01
833,"50 Lawford RoadKentish Town NW5 2LN, ",George Orwell   ,https://en.wikipedia.org/wiki/George_Orwell,1980-01-01
834,"1 Broadhurst GardensHampstead NW6 3QX, ",Martina Bergman-Österberg   ,https://en.wikipedia.org/wiki/Martina_Bergman-%C3%96sterberg,1999-01-01
835,"14 Percy StreetFitzrovia W1T 1DR, ",Coventry Patmore   ,https://en.wikipedia.org/wiki/Coventry_Patmore,1960-01-01
836,"7 Well RoadHampstead NW3 1LH, ",Karl Pearson   ,https://en.wikipedia.org/wiki/Karl_Pearson,1983-01-01
837,"59–60 Lincoln's Inn FieldsHolborn WC2A 3LJ, ",Spencer Perceval   ,https://en.wikipedia.org/wiki/Spencer_Perceval,1914-01-01
838,"5 Cannon PlaceHampstead NW3 1EH, ",Sir Flinders Petrie   ,https://en.wikipedia.org/wiki/Flinders_Petrie,1954-01-01
839,"2 Wildwood TerraceHampstead NW3 7HT, ",Sir Nikolaus Pevsner   ,https://en.wikipedia.org/wiki/Nikolaus_Pevsner,2007-01-01
840,"3 Chalcot SquarePrimrose Hill NW1 8YB, ",Sylvia Plath   ,https://en.wikipedia.org/wiki/Sylvia_Plath,2000-01-01
841,"7 Gower StreetBloomsbury WC1E 6HA, ",Pre-Raphaelite Brotherhood,https://en.wikipedia.org/wiki/Pre-Raphaelite_Brotherhood,1998-01-01
842,"3 The GroveHighgate N6 6JU, ",J. B. Priestley   ,https://en.wikipedia.org/wiki/J._B._Priestley,1994-01-01
843,"16 Chalcot GardensBelsize Park NW3 4YB, ",Arthur Rackham   ,https://en.wikipedia.org/wiki/Arthur_Rackham,1981-01-01
844,"13 Bedford SquareBloomsbury WC1B 3RA, ",Sir Harry Ricardo   ,https://en.wikipedia.org/wiki/Harry_Ricardo,2005-01-01
845,"37 Chalcot CrescentBelsize Park NW1 8YG, ",Dr. José Rizal   ,https://en.wikipedia.org/wiki/Jos%C3%A9_Rizal,1983-01-01
846,"14 St Mark's CrescentPrimrose Hill NW1 7TS, ",William Roberts   ,https://en.wikipedia.org/wiki/William_Roberts_(painter),2003-01-01
847,"The Chestnuts, Branch HillHampstead NW3 7NA, ",Paul Robeson   ,https://en.wikipedia.org/wiki/Paul_Robeson,2002-01-01
848,"14 Gower StreetBloomsbury WC1E 6DP, ",James Robinson   ,https://en.wikipedia.org/w/index.php?title=James_Robinson_(dentist)&action=edit&redlink=1,1991-01-01
849,"21 Russell SquareBloomsbury WC1B 4EH, ",Sir Samuel Romilly   ,https://en.wikipedia.org/wiki/Samuel_Romilly,1919-01-01
850,"Romney's House, 5 Holly Bush HillHampstead NW3 6SH, ",George Romney   ,https://en.wikipedia.org/wiki/George_Romney_(painter),1908-01-01
852,"49 Bedford SquareBloomsbury WC1B 3DP, ",Ram Mohan Roy   ,https://en.wikipedia.org/wiki/Ram_Mohan_Roy,1985-01-01
853,"34 Russell Chambers, Bury PlaceBloomsbury WC1A 2JX, ",Bertrand Russell   ,https://en.wikipedia.org/wiki/Bertrand_Russell,2002-01-01
854,"27 Chester TerraceRegent's Park NW1 4ND, ",Sir John Maitland Salmond   ,https://en.wikipedia.org/wiki/John_Salmond,2002-01-01
855,"24 Great James StreetHolborn WC1N 3ES, ",Dorothy L. Sayers   ,https://en.wikipedia.org/wiki/Dorothy_L._Sayers,2000-01-01
856,"257 Camden High StreetCamden Town NW1 7BU, ",Tom Sayers   ,https://en.wikipedia.org/wiki/Tom_Sayers,2002-01-01
857,"Admiral's House, Admiral's WalkHampstead NW3 6RS, ",Sir George Gilbert Scott   ,https://en.wikipedia.org/wiki/George_Gilbert_Scott,1910-01-01
858,"4 Maresfield GardensHampstead NW3 5SU, ",Cecil Sharp   ,https://en.wikipedia.org/wiki/Cecil_Sharp,1985-01-01
859,"29 Fitzroy SquareFitzrovia W1T 5LP, ",Sir George Bernard Shaw   ,https://en.wikipedia.org/wiki/George_Bernard_Shaw,1951-01-01
860,"6 Ellerdale RoadHampstead NW3 6BD, ",Richard Norman Shaw   ,https://en.wikipedia.org/wiki/Richard_Norman_Shaw,2006-01-01
861,"6 Mornington CrescentCamden Town NW1 7RH, ",Walter Sickert   ,https://en.wikipedia.org/wiki/Walter_Sickert,1977-01-01
862,"5 Denmark StreetSt Giles WC2H 8LS, ",Augustus Siebe   ,https://en.wikipedia.org/wiki/Augustus_Siebe,2000-01-01
863,"8 Frognal GardensHampstead NW3 6UX, ",Alastair Sim   ,https://en.wikipedia.org/wiki/Alastair_Sim,2008-01-01
864,"Greenhill, Hampstead High StreetHampstead NW3 5TY, ",Edith Sitwell   ,https://en.wikipedia.org/wiki/Edith_Sitwell,1998-01-01
865,"4 Bloomsbury PlaceBloomsbury WC1A 2QA, ",Sir Hans Sloane   ,https://en.wikipedia.org/wiki/Hans_Sloane,1965-01-01
866,"81 Charlotte StreetFitzrovia W1T 4PP, ",Sir Robert Smirke   ,https://en.wikipedia.org/wiki/Robert_Smirke_(architect),1979-01-01
867,"14 Doughty StreetHolborn WC1N 2PL, ",Sydney Smith   ,https://en.wikipedia.org/wiki/Sydney_Smith,1906-01-01
868,"9 Eton VillasBelsize Park NW3 5SX, ",Alfred Stevens   ,https://en.wikipedia.org/wiki/Alfred_Stevens_(sculptor),1924-01-01
869,"51 Gordon SquareBloomsbury WC1H 0PN, ",Lytton Strachey   ,https://en.wikipedia.org/wiki/Lytton_Strachey,1971-01-01
870,"1 Eton VillasChalk Farm NW1 4SX, ",Sir John Summerson   ,https://en.wikipedia.org/wiki/John_Summerson,2012-01-01
871,"3 Villas on the Heath, Vale of HealthHampstead NW3 1BA, ",Rabindranath Tagore   ,https://en.wikipedia.org/wiki/Rabindranath_Tagore,1961-01-01
872,"21 Mecklenburgh SquareBloomsbury WC1N 2DT, ",R. H. Tawney   ,https://en.wikipedia.org/wiki/Richard_Henry_Tawney,1980-01-01
873,"13 St Mark's CrescentPrimrose Hill NW1 7TS, ",A. J. P. Taylor   ,https://en.wikipedia.org/wiki/A._J._P._Taylor,2013-01-01
874,"40 Bedford Place, Bloomsbury WC1B 5JT, ",John Thelwall   ,https://en.wikipedia.org/wiki/John_Thelwall,2018-01-01
875,"54 Delancey StreetCamden Town NW1 7RY, ",Dylan Thomas   ,https://en.wikipedia.org/wiki/Dylan_Thomas,1983-01-01
876,"Vane House, Rosslyn HillHampstead NW3 5UN, ",Sir Harry Vane   ,https://en.wikipedia.org/wiki/Henry_Vane_the_Younger,1897-01-01
877,"19 North EndHampstead NW3 7HR, ",Michael Ventris   ,https://en.wikipedia.org/wiki/Michael_Ventris,1990-01-01
878,"4 Holford RoadHampstead NW3 1AD, ",Baron Friedrich von Hügel   ,https://en.wikipedia.org/wiki/Friedrich_von_H%C3%BCgel,1968-01-01
879,"35 Bedford SquareBloomsbury WC1B 3ES, ",Thomas Wakley   ,https://en.wikipedia.org/wiki/Thomas_Wakley,1962-01-01
880,"1 Netherhall GardensHampstead NW3 5RS, ",Beatrice    and Sidney Webb   ,"https://en.wikipedia.org/wiki/Beatrice_Webb,_Baroness_Passfield",1981-01-01
881,"6 Gloucester GateRegent's Park NW1 4HG, ",Sir Henry Wellcome   ,https://en.wikipedia.org/wiki/Henry_Wellcome,1989-01-01
882,"10 Bloomsbury SquareBloomsbury WC1A 2LP, ",Dr. Robert Willan   ,https://en.wikipedia.org/wiki/Robert_Willan,1949-01-01
883,"9 Rochester TerraceCamden NW1 9JN, ",'Father' Henry Willis   ,https://en.wikipedia.org/wiki/Henry_Willis,1986-01-01
884,"4 Elsworthy RoadBelsize Park NW3 3DJ, ",Sir Henry Wood   ,https://en.wikipedia.org/wiki/Henry_Wood,1969-01-01
885,"29 Fitzroy SquareFitzrovia W1T 5LP, ",Virginia Woolf   ,https://en.wikipedia.org/wiki/Virginia_Woolf,1974-01-01
886,"77 Great Russell StreetBloomsbury WC1B 3DA, ",Thomas Henry Wyatt   ,https://en.wikipedia.org/wiki/Thomas_Henry_Wyatt,1957-01-01
887,"23 Fitzroy RoadPrimrose Hill NW1 8TP, ",William Butler Yeats   ,https://en.wikipedia.org/wiki/William_Butler_Yeats,1957-01-01
888,"Queen Court, 24–28 Queen Square, Guilford StreetHolborn WC1N 3BB, ",Wing Commander F. F. E. Yeo-Thomas G. C.   ,https://en.wikipedia.org/wiki/F._F._E._Yeo-Thomas,2010-01-01
